#time, arduino2, arduino1
#Arduino 2 is connected to usb of tower and has only voltage pins connected, arduino1 is connected to the usb of monitor and has complete connections
304.7414970397949 610 725
304.7568590641022 705 838
304.7724812030792 760 833
304.7881016731262 653 670
304.80385732650757 790 698
304.8195791244507 680 835
304.8349664211273 793 620
304.8505880832672 665 763
304.8662078380585 695 683
304.8818299770355 698 773
304.8974506855011 790 688
304.91339325904846 633 718
304.92901277542114 748 665
304.9446415901184 660 795
304.9599361419678 658 665
304.9755630493164 765 820
304.99143505096436 753 825
305.00682830810547 648 720
305.0226559638977 678 790
305.03836584091187 793 803
305.05366373062134 803 725
305.06928539276123 735 695
305.08490657806396 695 840
305.1005337238312 785 668
305.11648082733154 763 640
305.1320893764496 735 718
305.1477129459381 753 790
305.16301345825195 660 813
305.1786403656006 668 835
305.1945843696594 650 823
305.21019768714905 720 838
305.225768327713 760 733
305.241149187088 725 820
305.25674057006836 738 628
305.27236247062683 635 670
305.2879891395569 668 705
305.3038673400879 813 795
305.319454908371 653 630
305.33516812324524 713 825
305.35079860687256 635 635
305.3660910129547 645 688
305.381716966629 568 820
305.397602558136 680 788
305.41327476501465 633 620
305.4288935661316 680 685
305.4442284107208 710 805
305.45981884002686 618 623
305.47544026374817 703 770
305.49106764793396 715 833
305.5069544315338 803 655
305.5223331451416 790 810
305.53792452812195 628 755
305.5535776615143 583 840
305.56916856765747 635 703
305.5847945213318 623 693
305.6006565093994 710 813
305.6163504123688 700 808
305.63197326660156 718 810
305.6475908756256 705 835
305.66289591789246 695 825
305.6785171031952 660 765
305.6941432952881 810 773
305.71008467674255 778 735
305.7256383895874 635 605
305.7412202358246 710 803
305.75694370269775 718 800
305.7722451686859 643 598
305.7878665924072 688 810
305.80373787879944 685 798
305.81943011283875 658 678
305.83505725860596 565 663
305.8506817817688 673 710
305.86597323417664 615 658
305.88159441947937 643 750
305.89722061157227 610 703
305.9131157398224 668 838
305.9287836551666 635 813
305.9443998336792 660 760
305.9597020149231 745 848
305.9753224849701 573 610
305.99094891548157 735 678
306.00688123703003 768 798
306.0224440097809 693 785
306.0380382537842 610 743
306.0536448955536 633 800
306.06905031204224 773 783
306.08467173576355 773 760
306.1002974510193 758 708
306.1162359714508 665 743
306.1318519115448 620 683
306.14744091033936 585 785
306.1627793312073 795 733
306.17840027809143 673 663
306.19402146339417 783 795
306.20964217185974 663 655
306.22529125213623 783 813
306.2408847808838 730 608
306.25666880607605 728 823
306.2721276283264 675 733
306.2877507209778 630 598
306.30362939834595 775 828
306.3193111419678 635 600
306.33493638038635 618 765
306.3505530357361 670 638
306.36585569381714 585 705
306.3814768791199 783 718
306.3971028327942 763 835
306.41303634643555 763 755
306.4286663532257 643 613
306.44428396224976 605 690
306.45984506607056 585 693
306.4752051830292 640 715
306.49083161354065 595 738
306.50672125816345 790 845
306.52232456207275 688 673
306.53792691230774 613 770
306.553338766098 790 823
306.5689330101013 788 803
306.58455419540405 655 668
306.6001806259155 763 790
306.6161196231842 688 748
306.63174986839294 610 605
306.64736771583557 750 815
306.6629819869995 655 698
306.6782822608948 770 725
306.69390845298767 753 713
306.70977663993835 635 600
306.72546672821045 763 668
306.7410922050476 685 768
306.7566463947296 705 803
306.7720105648041 728 825
306.78763151168823 775 730
306.8032524585724 668 733
306.8191900253296 808 825
306.8348162174225 753 848
306.8504447937012 738 833
306.86605954170227 743 725
306.8813593387604 765 815
306.896986246109 688 818
306.9129228591919 675 668
306.92854285240173 753 788
306.944123506546 740 650
306.9597854614258 720 670
306.9750876426697 723 793
306.9907088279724 590 673
307.0063350200653 658 733
307.02219247817993 728 825
307.037793636322 678 658
307.0535132884979 730 840
307.06899976730347 715 668
307.08443665504456 623 695
307.1000633239746 623 810
307.1160018444061 760 825
307.13162302970886 703 798
307.1472430229187 638 820
307.1628646850586 620 820
307.17816495895386 658 720
307.1937909126282 630 838
307.2094123363495 645 773
307.22522735595703 693 750
307.2409725189209 728 783
307.25659108161926 668 818
307.2718937397003 645 715
307.2875144481659 653 660
307.30313992500305 688 780
307.3190338611603 575 608
307.3347017765045 705 818
307.350323677063 610 738
307.36593747138977 785 720
307.3812417984009 700 675
307.39686846733093 675 778
307.4124846458435 670 820
307.42835116386414 573 728
307.44437766075134 660 715
307.4600281715393 583 655
307.4756247997284 635 610
307.4913568496704 655 695
307.5100083351135 590 690
307.5257866382599 680 693
307.5414080619812 663 683
307.55703949928284 668 753
307.57263231277466 643 788
307.58810901641846 783 665
307.60373044013977 653 633
307.6196129322052 720 715
307.6352276802063 640 785
307.65091705322266 735 700
307.6665380001068 703 633
307.6818377971649 635 735
307.69746446609497 783 720
307.7133469581604 720 683
307.72870802879333 743 703
307.744460105896 655 645
307.76019191741943 633 608
307.7755661010742 598 628
307.79118728637695 588 625
307.8068084716797 623 680
307.82268929481506 760 615
307.83826541900635 758 848
307.85400104522705 583 790
307.8696115016937 715 605
307.8849153518677 768 803
307.90054178237915 610 675
307.9161636829376 768 808
307.93210220336914 633 785
307.9477241039276 690 698
307.9633402824402 773 748
307.97864294052124 648 680
307.994264125824 773 760
308.0098910331726 675 598
308.02574014663696 648 653
308.04112815856934 628 660
308.05674934387207 758 790
308.0723714828491 740 603
308.0879924297333 813 740
308.103613615036 750 665
308.11923456192017 648 840
308.13485622406006 705 770
308.1504774093628 713 643
308.16609811782837 620 768
308.18171977996826 740 800
308.1973412036896 593 738
308.2129623889923 640 728
308.22858476638794 700 605
308.2442057132721 708 703
308.25982689857483 708 690
308.27547669410706 570 658
308.2910695075989 583 753
308.30669116973877 795 698
308.32234501838684 758 828
308.33793330192566 788 810
308.3535542488098 810 610
308.3691759109497 803 595
308.38479685783386 688 600
308.4004189968109 678 710
308.4160397052765 690 650
308.43166184425354 640 690
308.4474482536316 630 775
308.46306562423706 685 663
308.4786841869354 700 673
308.4941473007202 728 813
308.5097734928131 630 800
308.52553367614746 695 603
308.5413281917572 630 790
308.5566325187683 648 653
308.57258105278015 713 728
308.58787536621094 595 733
308.6034963130951 643 740
308.6193392276764 800 818
308.6349458694458 728 605
308.6506841182709 780 820
308.666298866272 690 700
308.6816086769104 590 698
308.6972234249115 640 673
308.7128508090973 643 760
308.72873711586 570 800
308.7443356513977 615 748
308.7598340511322 665 803
308.77564764022827 733 680
308.79095220565796 683 600
308.80657291412354 743 750
308.8224217891693 660 685
308.8381471633911 583 828
308.85377287864685 813 858
308.86938095092773 595 670
308.8846802711487 628 803
308.90030217170715 783 593
308.9159278869629 765 673
308.93186235427856 760 648
308.9474880695343 655 808
308.96292328834534 778 780
308.9786775112152 698 768
308.99402928352356 795 753
309.0096559524536 798 603
309.0255126953125 603 615
309.0411710739136 580 788
309.05669617652893 680 735
309.07246351242065 698 608
309.08778738975525 760 695
309.1033787727356 658 725
309.119042634964 650 808
309.13494062423706 680 688
309.1505653858185 773 685
309.16619348526 595 728
309.18180775642395 653 763
309.1971068382263 690 700
309.2127294540405 668 683
309.2283775806427 578 818
309.24418783187866 783 818
309.2599127292633 623 755
309.2752411365509 745 743
309.2908339500427 595 765
309.3064560890198 740 785
309.3220775127411 645 693
309.338015794754 700 748
309.3536376953125 578 603
309.36925745010376 653 688
309.3848407268524 718 768
309.4001839160919 685 703
309.4158046245575 673 705
309.43143343925476 620 810
309.4473686218262 648 693
309.4629559516907 628 860
309.47854447364807 648 748
